time,acc
0.00002,-0.81027
0.00004,-1.2584
0.00006,-0.39682
0.00008,-0.83926
0.0001,-0.14363
0.00012,-1.1097
0.00014,-0.69586
0.00016,-1.1186
0.00018,-1.0412
0.0002,-0.88526
0.00022,-1.9818
0.00024,-0.90354
0.00026,-1.71
0.00028,-1.0528
0.0003,-1.0043
0.00032,-0.42317
0.00034,-1.0112
0.00036,-2.0652
0.00038,-1.058
0.0004,-2.2448
0.00042,-1.3082
0.00044,-2.0774
0.00046,-1.1029
0.00048,-1.4898
0.0005,-1.0343
0.00052,-0.71997
0.00054,-1.4086
0.00056,-1.1362
0.00058,-1.6995
0.0006,-0.82996
0.00062,-1.3524
0.00064,-0.4041
0.00066,-0.8315
0.00068,-0.44553
0.0007,-0.31491
0.00072,-0.35015
0.00074,-0.8803
0.00076,-1.5141
0.00078,-0.81238
0.0008,-1.1825
0.00082,-0.12097
0.00084,-0.49707
0.00086,-0.63617
0.00088,-0.46474
0.0009,-0.54517
0.00092,-0.26365
0.00094,-0.91956
0.00096,-0.14403
0.00098,-0.54422
0.001,-0.16183
0.00102,-0.53061
0.00104,-0.84839
0.00106,-0.98318
0.00108,-0.95661
0.0011,-0.38351
0.00112,-0.69256
0.00114,-0.019866
0.00116,-0.23225
0.00118,0.47551
0.0012,0.24704
0.00122,0.48962
0.00124,0.44635
0.00126,0.082642
0.00128,0.5575
0.0013,0.2044
0.00132,0.7803
0.00134,0.96689
0.00136,1.2047
0.00138,1.1071
0.0014,0.58175
0.00142,0.91567
0.00144,0.58733
0.00146,1.0781
0.00148,1.0063
0.0015,1.1568
0.00152,0.90343
0.00154,1.2065
0.00156,1.2076
0.00158,1.1011
0.0016,1.2655
0.00162,0.75768
0.00164,1.0177
0.00166,0.89686
0.00168,1.1917
0.0017,0.83714
0.00172,1.0486
0.00174,1.1809
0.00176,0.91372
0.00178,1.0682
0.0018,0.64299
0.00182,1.0167
0.00184,0.78624
0.00186,1.4459
0.00188,1.3462
0.0019,1.1938
0.00192,1.0167
0.00194,0.74841
0.00196,1.4539
0.00198,0.91487
0.002,1.5081
0.00202,1.1385
0.00204,1.2265
0.00206,1.1143
0.00208,0.95758
0.0021,1.3274
0.00212,1.0805
0.00214,1.7765
0.00216,1.3543
0.00218,1.8025
0.0022,1.5724
0.00222,1.5872
0.00224,1.5147
0.00226,0.81796
0.00228,1.4046
0.0023,0.78584
0.00232,1.5108
0.00234,1.195
0.00236,1.4562
0.00238,1.3406
0.0024,1.0196
0.00242,1.1647
0.00244,0.15475
0.00246,0.81994
0.00248,-0.0030016
0.0025,0.6282
0.00252,0.35307
0.00254,0.28426
0.00256,0.53662
0.00258,0.19484
0.0026,1.2541
0.00262,0.51281
0.00264,1.3435
0.00266,0.92092
0.00268,1.1802
0.0027,1.0578
0.00272,1.0183
0.00274,1.0025
0.00276,0.43648
0.00278,1.104
0.0028,0.50717
0.00282,1.0277
0.00284,0.44516
0.00286,0.90374
0.00288,0.89076
0.0029,0.6939
0.00292,1.4107
0.00294,0.7224
0.00296,1.2256
0.00298,0.62013
0.003,1.1534
0.00302,0.79239
0.00304,0.79857
0.00306,0.87609
0.00308,0.5136
0.0031,0.93704
0.00312,0.29341
0.00314,1.0324
0.00316,0.18044
0.00318,0.65927
0.0032,0.16569
0.00322,0.2606
0.00324,0.81848
0.00326,0.64465
0.00328,1.1415
0.0033,0.90965
0.00332,1.4423
0.00334,0.86767
0.00336,0.9927
0.00338,0.79835
0.0034,0.80621
0.00342,1.1411
0.00344,0.39872
0.00346,0.94534
0.00348,0.88106
0.0035,1.1157
0.00352,0.9994
0.00354,1.2064
0.00356,1.1981
0.00358,1.0348
0.0036,1.0469
0.00362,0.70827
0.00364,0.99659
0.00366,0.67437
0.00368,0.92939
0.0037,0.65741
0.00372,0.97714
0.00374,0.97955
0.00376,0.88514
0.00378,0.99248
0.0038,0.59607
0.00382,0.93387
0.00384,0.38118
0.00386,0.46771
0.00388,0.31801
0.0039,0.46936
0.00392,0.53557
0.00394,0.28479
0.00396,0.58869
0.00398,0.17883
0.004,0.47576
0.00402,-0.065526
0.00404,0.21985
0.00406,0.040122
0.00408,-0.34398
0.0041,0.18406
0.00412,-0.63008
0.00414,0.29113
0.00416,-0.23725
0.00418,0.34682
0.0042,0.041952
0.00422,-0.158
0.00424,-0.060735
0.00426,-0.84903
0.00428,-0.023154
0.0043,-0.69682
0.00432,0.052632
0.00434,-0.72847
0.00436,-0.28582
0.00438,-0.3146
0.0044,-0.30184
0.00442,0.28695
0.00444,0.09207
0.00446,0.76704
0.00448,0.34851
0.0045,0.6713
0.00452,0.32683
0.00454,0.45842
0.00456,0.1388
0.00458,0.30356
0.0046,0.48297
0.00462,0.3899
0.00464,0.61444
0.00466,0.041503
0.00468,0.53598
0.0047,0.21641
0.00472,0.45558
0.00474,0.35289
0.00476,0.24041
0.00478,0.15454
0.0048,-0.15545
0.00482,0.1495
0.00484,-0.36731
0.00486,0.13252
0.00488,-0.26762
0.0049,-0.18467
0.00492,0.097111
0.00494,-0.065539
0.00496,0.65441
0.00498,-0.041906
0.005,0.464
0.00502,-0.3452
0.00504,-0.096975
0.00506,-0.092184
0.00508,-0.57394
0.0051,-0.037199
0.00512,-0.72239
0.00514,0.089096
0.00516,-0.83486
0.00518,-0.19963
0.0052,-0.61654
0.00522,-0.31216
0.00524,-0.17836
0.00526,-0.74071
0.00528,0.17406
0.0053,-0.34427
0.00532,0.31309
0.00534,-0.55662
0.00536,-0.10895
0.00538,-0.75098
0.0054,-0.76308
0.00542,-0.79423
0.00544,-1.7617
0.00546,-0.55322
0.00548,-0.80465
0.0055,0.20265
0.00552,0.0084103
0.00554,0.24349
0.00556,-0.22537
0.00558,-0.2009
0.0056,0.086174
0.00562,-0.41648
0.00564,0.20146
0.00566,-0.24229
0.00568,0.45604
0.0057,-0.031965
